timestamp,brightness,contrast,blur,entropy
2025-06-09 20:25:37,109.82,47.19,68.3,7.26
2025-06-09 20:25:37,109.66,46.29,64.95,7.24
2025-06-09 20:25:37,109.87,46.95,66.92,7.26
2025-06-09 20:25:37,110.33,45.98,64.08,7.24
2025-06-09 20:25:37,110.5,45.54,62.68,7.23
2025-06-09 20:25:37,110.25,45.49,62.19,7.22
2025-06-09 20:25:37,109.64,46.3,62.16,7.24
2025-06-09 20:25:37,110.38,46.14,63.39,7.25
2025-06-09 20:25:37,109.82,47.05,65.59,7.27
2025-06-09 20:25:37,109.72,47.53,64.85,7.26
2025-06-09 20:25:37,110.62,53.96,55.76,7.54
2025-06-09 20:25:37,103.49,54.52,49.27,7.42
2025-06-09 20:25:37,102.58,58.21,51.42,7.5
2025-06-09 20:25:37,101.61,56.53,60.11,7.59
2025-06-09 20:25:37,102.73,56.86,72.46,7.56
2025-06-09 20:25:37,102.63,58.96,73.34,7.57
2025-06-09 20:25:38,102.72,59.75,73.78,7.55
2025-06-09 20:25:38,101.9,59.05,76.8,7.51
2025-06-09 20:25:38,102.77,58.77,76.71,7.49
2025-06-09 20:25:38,104.4,58.59,77.73,7.52
2025-06-09 20:25:38,105.14,57.38,71.44,7.5
2025-06-09 20:25:38,105.38,54.47,73.21,7.38
2025-06-09 20:25:38,105.21,54.72,77.12,7.4
2025-06-09 20:25:38,104.14,52.73,80.19,7.38
2025-06-09 20:25:38,103.63,52.54,90.27,7.39
2025-06-09 20:25:38,106.81,50.79,104.17,7.3
2025-06-09 20:25:38,105.69,52.1,102.5,7.3
2025-06-09 20:25:38,104.44,55.26,105.26,7.31
2025-06-09 20:25:38,103.18,56.27,102.73,7.2
2025-06-09 20:25:38,102.82,57.11,96.76,7.07
2025-06-09 20:25:38,101.34,59.84,97.29,7.18
2025-06-09 20:25:38,100.43,58.02,102.5,7.05
2025-06-09 20:25:38,100.73,60.01,106.73,7.03
2025-06-09 20:25:39,99.38,63.77,107.99,7.09
2025-06-09 20:25:39,97.79,64.89,108.44,7.2
2025-06-09 20:25:39,96.71,66.5,99.83,7.29
2025-06-09 20:25:39,94.85,67.74,93.46,7.31
2025-06-09 20:25:39,94.37,67.81,74.09,7.23
2025-06-09 20:25:39,93.22,68.45,98.35,7.17
2025-06-09 20:25:39,93.58,68.23,95.78,7.18
2025-06-09 20:25:39,94.57,68.05,92.0,7.19
2025-06-09 20:25:39,95.84,65.74,93.7,7.19
2025-06-09 20:25:39,97.13,63.13,96.4,7.21
2025-06-09 20:25:39,98.36,62.17,97.96,7.2
2025-06-09 20:25:39,100.22,60.28,97.47,7.2
2025-06-09 20:25:39,101.66,56.31,92.44,7.18
2025-06-09 20:25:39,103.08,53.24,80.52,7.18
2025-06-09 20:25:39,105.61,50.74,66.81,7.21
2025-06-09 20:25:39,106.71,48.89,62.81,7.25
2025-06-09 20:25:40,106.2,49.4,102.46,7.42
2025-06-09 20:25:40,107.3,50.46,93.83,7.46
2025-06-09 20:25:40,104.77,48.68,99.49,7.4
2025-06-09 20:25:40,105.77,52.61,123.14,7.52
2025-06-09 20:25:40,107.46,49.91,125.44,7.47
2025-06-09 20:25:40,107.85,49.33,120.02,7.46
2025-06-09 20:25:40,108.48,49.48,111.98,7.45
2025-06-09 20:25:40,106.56,49.18,130.77,7.48
2025-06-09 20:25:40,108.82,50.03,127.06,7.57
2025-06-09 20:25:40,109.07,48.59,108.57,7.51
2025-06-09 20:25:40,111.49,50.21,98.85,7.47
2025-06-09 20:25:40,106.77,48.58,98.58,7.38
2025-06-09 20:25:40,108.65,53.01,89.48,7.48
2025-06-09 20:25:40,105.45,52.65,72.18,7.38
2025-06-09 20:25:40,103.79,53.06,78.54,7.49
2025-06-09 20:25:41,100.12,57.31,75.6,7.47
2025-06-09 20:25:41,101.4,59.45,90.93,7.61
2025-06-09 20:25:41,105.24,57.25,99.7,7.52
2025-06-09 20:25:41,107.39,53.99,98.7,7.43
2025-06-09 20:25:41,109.37,51.19,99.54,7.46
2025-06-09 20:25:41,107.69,52.25,100.5,7.46
2025-06-09 20:25:41,111.15,47.45,98.56,7.37
2025-06-09 20:25:41,108.15,48.36,102.37,7.45
2025-06-09 20:25:41,107.67,50.98,105.2,7.51
2025-06-09 20:25:41,109.6,51.95,101.24,7.52
2025-06-09 20:25:41,106.47,51.52,93.55,7.48
2025-06-09 20:25:41,109.0,52.46,89.08,7.45
2025-06-09 20:25:41,107.07,51.07,74.58,7.34
2025-06-09 20:25:41,105.46,52.93,98.79,7.46
2025-06-09 20:25:42,111.59,49.82,84.87,7.32
2025-06-09 20:25:42,106.21,50.6,89.24,7.32
2025-06-09 20:25:42,107.06,50.39,80.59,7.31
2025-06-09 20:25:42,106.32,52.03,89.23,7.38
2025-06-09 20:25:42,102.61,53.06,91.85,7.41
2025-06-09 20:25:42,102.56,55.51,104.91,7.5
2025-06-09 20:25:42,109.85,53.38,89.98,7.5
2025-06-09 20:25:42,102.52,52.51,102.23,7.46
2025-06-09 20:25:42,109.29,53.32,92.08,7.5
2025-06-09 20:25:42,103.34,52.23,92.72,7.51
2025-06-09 20:25:42,103.83,56.09,94.53,7.5
2025-06-09 20:25:42,110.6,45.17,41.81,6.75
